Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) tmax(C) tmin(C) vp(Pa),, prcp(mm/day) ,srad(W/m2), tmax(C) ,tmin(C) ,vp(Pa),Runoff (t-1),FFNN-Runoff(t-1),,,Runoff (t)
1991 04 06 12,45273.6,5.5,224.02,20.17,11.45,1356,404,404,,,403
1991 04 07 12,45273.6,0,459.89,26.15,10,1240.08,403,403,,,391
1991 04 08 12,45273.6,0,446.09,28.05,12.28,1422.19,391,391,,,351
1991 04 09 12,45619.18,4.65,274.82,27.35,15.39,1749.74,351,351,,,333
1991 04 10 12,45619.18,12.68,303.1,27.63,14.2,1616.06,333,333,,,761
1991 04 11 12,45644.6,0,486.15,26.44,9.07,1165.6,761,761,,,636
1991 04 12 12,45964.79,0,415.92,24.6,11.32,1345.28,636,636,,,387
1991 04 13 12,45964.79,0,267.85,21.15,13.46,1546.33,387,387,,,318
1991 04 14 12,46275.18,0.01,285.04,21.98,13.81,1580.12,318,318,,,286
1991 04 15 12,46310.4,0.39,359.85,26.03,14.77,1683.82,286,286,,,284
1991 04 16 12,46310.4,1.97,373.18,27.58,15.73,1778.6,284,284,,,268
1991 04 17 12,46656,0,444.88,29.16,14.11,1608.68,268,268,,,239
1991 04 18 12,46656,0,470.34,29.5,13.12,1498.59,239,239,,,212
1991 04 19 12,46656,5.02,332.15,28.47,13.89,1591.13,212,212,,,197
1991 04 20 12,47001.61,17.51,279.97,21.55,10.92,1313.23,197,197,,,434
1991 04 21 12,47001.61,0,338.32,19.7,10.5,1279.81,434,434,,,359
1991 04 22 12,47001.61,0,469.82,18.94,5.03,880.79,359,359,,,261
1991 04 23 12,47347.21,1,462.16,20.27,6.59,967.04,261,261,,,209
1991 04 24 12,47347.21,0,445.46,23.71,10.58,1286.17,209,209,,,183
1991 04 25 12,47347.21,0,531.99,25.98,7.86,1069.16,183,183,,,167
1991 04 26 12,47692.81,0.28,416.01,21.7,10.16,1253.11,167,167,,,145
1991 04 27 12,47692.81,5.67,260.49,23.24,14.01,1600.43,145,145,,,140
1991 04 28 12,47692.81,18.82,257.67,24.8,15.51,1760.58,140,140,,,376
1991 04 29 12,48038.4,7.47,322,29.48,16.56,1884.58,376,376,,,746
1991 04 30 12,48038.4,27.49,322.06,30.28,17.28,1965.15,746,746,,,2100
1991 05 01 12,48038.4,0,353.58,27.8,18.07,2079.47,2100,2100,,,1270
1991 05 02 12,48383.99,0,461.35,28.07,14.48,1647.7,1270,1270,,,501
1991 05 03 12,48383.99,0,547.17,27.57,9.11,1168.5,501,501,,,305
1991 05 04 12,48383.99,0,529.89,29.46,11.7,1376.03,305,305,,,237
1991 05 05 12,48694.35,8.45,230.54,24.29,16.43,1865.04,237,237,,,370
1991 05 06 12,48729.61,26.36,290.69,27.56,16.89,1909.81,370,370,,,3120
1991 05 07 12,48729.61,0,490.15,25.89,11.48,1358.73,3120,3120,,,955
1991 05 08 12,48789.93,0,512.59,26.22,10.59,1287.08,955,955,,,434
1991 05 09 12,49075.19,0,464.84,26.62,13.26,1520.68,434,434,,,301
1991 05 10 12,49075.19,4.35,256.25,24.97,16.68,1890.55,301,301,,,263
1991 05 11 12,49075.19,0,431.72,28.34,16.32,1851.07,263,263,,,234
1991 05 12 12,49385.59,7.38,317.79,29.25,17.54,2005.68,234,234,,,317
1991 05 13 12,49420.81,13.86,241.2,27.13,18.85,2176.29,317,317,,,721
1991 05 14 12,49420.81,0,399.59,29.07,18.08,2085.83,721,721,,,530
1991 05 15 12,49446.23,0,438.99,30.77,17.99,2077.78,530,530,,,288
1991 05 16 12,49763.71,0.27,415.42,30.99,19.04,2206.79,288,288,,,225
1991 05 17 12,49766.41,31.23,327.39,31.03,18.37,2111.54,225,225,,,1540
1991 05 18 12,49766.41,0,451.67,32.12,18.67,2147.98,1540,1540,,,944
1991 05 19 12,49791.83,13.93,329.33,30.79,18.22,2094.58,944,944,,,779
1991 05 20 12,50076.75,1.37,389.57,22.32,11.84,1387.55,779,779,,,578
1991 05 21 12,50111.99,8.82,194.5,18.48,12.59,1447.47,578,578,,,697
1991 05 22 12,50111.99,0.17,369.08,24.64,15.56,1764.96,697,697,,,466
1991 05 23 12,50111.99,2.14,329.62,26.91,18.46,2117.08,466,466,,,336
1991 05 24 12,50226.32,0,374.13,27.91,18.49,2121.35,336,336,,,269
1991 05 25 12,50457.61,0,364.13,27.87,18.94,2190.92,269,269,,,220
1991 05 26 12,50457.61,0,444.11,29.68,17.85,2055.94,220,220,,,197
1991 05 27 12,50457.61,3.84,321.69,30.62,19.22,2234.98,197,197,,,190
1991 05 28 12,50457.61,8.87,289.27,31.04,20.92,2467.38,190,190,,,658
1991 05 29 12,50571.95,0,419.65,32.03,20.62,2419.96,658,658,,,318
1991 05 30 12,50767.96,0,431.89,33.53,21.35,2536.22,318,318,,,208
1991 05 31 12,50803.17,0,453.28,33.38,20.27,2365.16,208,208,,,161
1991 06 01 12,50803.17,1.32,463.17,33.94,19.92,2313.98,161,161,,,240
1991 06 02 12,50803.17,39.32,367.04,33.77,18.91,2186.22,240,240,,,3800
1991 06 03 12,50803.17,0.01,464.01,31.74,18.81,2169.64,3800,3800,,,1480
1991 06 04 12,50828.59,0,446.54,32.5,20.01,2324.35,1480,1480,,,605
1991 06 05 12,50982.64,0,451.08,31.58,19.07,2211,605,605,,,290
1991 06 06 12,51113.55,0,492.96,27.03,13.71,1576.71,290,290,,,208
1991 06 07 12,51148.8,0,507.2,26.24,12.45,1436.37,208,208,,,171
1991 06 08 12,51148.8,0,536.87,26.69,11.11,1328.86,171,171,,,148
1991 06 09 12,51148.8,0,531.48,28.1,12.27,1421.89,148,148,,,131
1991 06 10 12,51148.8,0,524.74,29.58,13.65,1572.2,131,131,,,117
1991 06 11 12,51148.8,0,513.75,30.49,14.85,1697.48,117,117,,,107
1991 06 12 12,51148.8,0,474.39,30.67,16.84,1909.78,107,107,,,100
1991 06 13 12,51154.41,0,417.78,31,19.37,2259.96,100,100,,,93
1991 06 14 12,51174.22,0,411.18,32.16,20.58,2412.93,93,93,,,150
1991 06 15 12,51209.12,47.48,324.76,31.49,19.22,2233.62,150,150,,,2770
1991 06 16 12,51263.11,0,410.01,31.71,20.28,2365.48,2770,2770,,,484
1991 06 17 12,51328.23,0,415.95,33.47,21.48,2557.18,484,484,,,251
1991 06 18 12,51328.23,20.85,330.04,33.33,20.42,2387.85,251,251,,,884
1991 06 19 12,51393.96,1.76,368.23,31.05,20.96,2472.81,884,884,,,655
1991 06 20 12,51393.96,10.89,248.63,30.2,21.46,2554.22,655,655,,,486
1991 06 21 12,51393.96,4.42,267.43,30.8,21.24,2518.01,486,486,,,908
1991 06 22 12,51393.96,7.41,308.71,31.97,20.31,2369.45,908,908,,,653
1991 06 23 12,51393.96,0,418.65,31.97,20,2322.64,653,653,,,377
1991 06 24 12,51328.23,5.97,305.53,30.47,19.12,2218.3,377,377,,,556
1991 06 25 12,51328.23,0,298.86,26.19,18.74,2158.78,556,556,,,377
1991 06 26 12,51263.11,0.07,358.51,27.82,18.59,2137.84,377,377,,,219
1991 06 27 12,51209.12,4.64,225.57,26.59,19.13,2220.84,219,219,,,176
1991 06 28 12,51174.22,3.81,238.45,27.96,19.97,2322.79,176,176,,,157
1991 06 29 12,51154.41,0,392.07,30.97,20.38,2380.69,157,157,,,166
1991 06 30 12,51148.8,0,426.95,33.39,21.07,2491.79,166,166,,,154
1991 07 01 12,51148.8,0,422.79,34.49,22.11,2657.27,154,154,,,146
1991 07 02 12,51148.8,0,423.17,34.96,22.5,2719.31,146,146,,,119
1991 07 03 12,51148.8,0.44,432.88,35.25,22.05,2648.7,119,119,,,98
1991 07 04 12,51148.8,7.17,329.76,34.5,21.85,2615.79,98,98,,,156
1991 07 05 12,51148.8,9.78,308.95,32.96,21.4,2543.86,156,156,,,256
1991 07 06 12,51148.8,1.95,330.04,31.79,21.5,2559.62,256,256,,,135
1991 07 07 12,51048.39,0,386.82,31.71,21.41,2545.21,135,135,,,122
1991 07 08 12,50917.51,0,410.29,33.28,21.96,2633.59,122,122,,,134
1991 07 09 12,50808.79,0,402.69,31.65,21.04,2487.1,134,134,,,102
1991 07 10 12,50803.17,0,451.17,33.98,21.08,2492.96,102,102,,,88
1991 07 11 12,50803.17,0,457.79,35.03,21.58,2572.06,88,88,,,81
1991 07 12 12,50803.17,0,426.59,33.82,22.04,2646.95,81,81,,,74
1991 07 13 12,50803.17,0,440.22,35.23,22.5,2720.18,74,74,,,65
1991 07 14 12,50702.79,0,485.01,36.15,20.85,2456.18,65,65,,,58
1991 07 15 12,50483.03,0,462.49,34.96,21.19,2510.45,58,58,,,51
1991 07 16 12,50457.61,0.96,310.55,29.52,21.67,2587.39,51,51,,,161
1991 07 17 12,50457.61,34.34,191.94,26.3,20.53,2404.71,161,161,,,319
1991 07 18 12,50457.61,24.68,274.42,28.5,19.81,2305.79,319,319,,,602
1991 07 19 12,50422.38,7.11,326.9,29.9,20,2326.73,602,602,,,559
1991 07 20 12,50137.41,4.85,352.88,32.16,20.95,2472.1,559,559,,,300
1991 07 21 12,50111.99,0,426.58,33.49,21.82,2610.97,300,300,,,196
1991 07 22 12,50111.99,0,438.81,34.6,22.12,2658.96,196,196,,,132
1991 07 23 12,50111.99,0,446.26,35.58,22.47,2714.61,132,132,,,103
1991 07 24 12,49945.82,0,448.92,35.85,22.47,2715.75,103,103,,,88
1991 07 25 12,49766.41,0,466.26,35.49,21.2,2512.14,88,88,,,75
1991 07 26 12,49766.41,0,428.9,32.97,20.95,2472.38,75,75,,,65
1991 07 27 12,49766.41,10.66,310.63,32.61,21.11,2498.27,65,65,,,229
1991 07 28 12,49600.27,11.54,293.37,31.95,21.5,2559.4,229,229,,,537
1991 07 29 12,49420.81,11.47,249.54,29.27,22.21,2672.96,537,537,,,1200
1991 07 30 12,49420.81,19.49,256.09,30.11,21.46,2554.35,1200,1200,,,4550
1991 07 31 12,49420.81,0,338.19,29.99,21.53,2564.64,4550,4550,,,638
1991 08 01 12,49135.52,0,336.26,30.1,21.74,2597.68,638,638,,,452
1991 08 02 12,49075.19,27.55,141.94,25.78,21.57,2571.34,452,452,,,1700
1991 08 03 12,49075.19,5.22,265.43,30.04,21.44,2550.08,1700,1700,,,1680
1991 08 04 12,49039.95,0,452.28,34.53,21.48,2557.02,1680,1680,,,528
1991 08 05 12,48729.61,0,450.77,34.82,21.64,2582.75,528,528,,,309
1991 08 06 12,48729.61,0,431.58,34.3,22.04,2646.84,309,309,,,224
1991 08 07 12,48729.61,3.24,434.92,34.8,21.77,2603.74,224,224,,,509
1991 08 08 12,48409.41,0.87,402.56,34.12,22.2,2672.52,509,509,,,341
1991 08 09 12,48383.99,3.63,357.19,33.79,21.64,2583.07,341,341,,,280
1991 08 10 12,48383.99,8.11,325.05,33.45,21.24,2518.93,280,280,,,270
1991 08 11 12,48152.71,9.39,318.18,32.67,20.96,2474.31,270,270,,,195
1991 08 12 12,48038.4,19.52,280.56,30.69,21.19,2510.49,195,195,,,1280
1991 08 13 12,48038.4,12.39,242.97,27.1,19.62,2286.77,1280,1280,,,1190
1991 08 14 12,47872.24,2.18,250.78,25.39,19.71,2295.34,1190,1190,,,797
1991 08 15 12,47692.81,20.95,237.44,25.43,18.45,2122.93,797,797,,,2030
1991 08 16 12,47692.81,0,456.17,29.97,17.81,2046.68,2030,2030,,,721
1991 08 17 12,47592.43,0,468.24,31.21,18.02,2075.74,721,721,,,383
1991 08 18 12,47347.21,0,465.53,31.94,18.56,2134.85,383,383,,,273
1991 08 19 12,47347.21,0,446.5,32.14,19.5,2268.78,273,273,,,221
1991 08 20 12,47246.78,0,449.07,32.27,19.41,2261.35,221,221,,,178
1991 08 21 12,47001.61,0,501.87,30.41,15.13,1726.88,178,178,,,146
1991 08 22 12,47001.61,0,473.86,29.97,16.32,1849.41,146,146,,,123
1991 08 23 12,46770.35,0,442.93,30,17.77,2043.66,123,123,,,110
1991 08 24 12,46656,0,425.8,30.4,18.82,2170.54,110,110,,,95
1991 08 25 12,46656,4.39,254.38,29.54,21.21,2514.25,95,95,,,91
1991 08 26 12,46316.02,25.89,181.1,27.16,21.55,2568.64,91,91,,,563
1991 08 27 12,46310.4,4.02,166.19,25.52,20.78,2444.7,563,563,,,391
1991 08 28 12,46310.4,0,373.22,29.94,20.48,2396.01,391,391,,,240
1991 08 29 12,45964.79,0,394.02,31.42,20.89,2462.36,240,240,,,182
1991 08 30 12,45964.79,0,419.15,32.11,20.32,2370.71,182,182,,,147
1991 08 31 12,45964.79,0,436.2,32.5,19.69,2293.92,147,147,,,124
1991 09 01 12,45619.18,0,438.14,33.13,19.72,2296.13,124,124,,,107
1991 09 02 12,45619.18,0,414.85,31.81,19.68,2292.68,107,107,,,96
1991 09 03 12,45616.5,0,413.61,27.41,16.18,1830.12,96,96,,,84
1991 09 04 12,45273.6,0,460.18,29.4,15.56,1764.97,84,84,,,75
1991 09 05 12,45273.6,0,468.66,30.86,15.99,1800.31,75,75,,,68
1991 09 06 12,44927.99,0,457.5,32.12,17.38,1981.52,68,68,,,64
1991 09 07 12,44927.99,0,436.3,32.83,18.93,2188.63,64,64,,,62
1991 09 08 12,44927.99,0,416.43,31.87,19.11,2216.98,62,62,,,60
1991 09 09 12,44582.39,0,461.11,29.84,15.1,1721.05,60,60,,,57
1991 09 10 12,44582.39,0,467.64,30.02,14.58,1658.86,57,57,,,53
1991 09 11 12,44582.39,0,468.03,31.57,15.32,1745.25,53,53,,,51
1991 09 12 12,44236.83,0,434.52,33.3,18.31,2104.62,51,51,,,48
1991 09 13 12,44236.83,0,422.8,33.44,18.71,2156.53,48,48,,,46
1991 09 14 12,43891.2,0,419.27,34.56,19.39,2259.44,46,46,,,44
1991 09 15 12,43891.2,0,404.32,35.36,20.59,2414.65,44,44,,,43
1991 09 16 12,43891.2,0,396.53,35.79,21.18,2508.85,43,43,,,46
1991 09 17 12,43545.6,0,385.73,35,21.06,2490.03,46,46,,,56
1991 09 18 12,43545.6,0,368.51,33.54,20.73,2437.76,56,56,,,40
1991 09 19 12,43545.6,0,359.19,32.53,20.29,2369.41,40,40,,,36
1991 09 20 12,43199.98,0,432.91,31.68,15.66,1774.86,36,36,,,34
1991 09 21 12,43199.98,0,412.44,21.2,8.28,1102.05,34,34,,,31
1991 09 22 12,42854.39,0,449.67,24.22,8.5,1120.11,31,31,,,29
1991 09 23 12,42854.39,0,446.25,25.92,9.83,1226.31,29,29,,,28
1991 09 24 12,42854.39,0,440.53,28.71,11.91,1392.59,28,28,,,28
1991 09 25 12,42508.8,0.22,344.6,28.06,16.07,1811.91,28,28,,,27
1991 09 26 12,42508.8,12.5,233,23.91,13.84,1586.73,27,27,,,30
1991 09 27 12,42508.8,0,416.5,25.57,10.09,1246.82,30,30,,,36
1991 09 28 12,42163.22,0,443.14,24.59,7.1,1007.97,36,36,,,45
1991 09 29 12,42163.22,0,442.9,25.99,7.81,1064.59,45,45,,,45
1991 09 30 12,41817.61,0,445.26,27.81,8.6,1127.74,45,45,,,36
1991 10 01 12,41817.61,0,427.23,28.36,10.15,1252.33,36,36,,,32
1991 10 02 12,41817.61,0,366.05,27.38,13.11,1504.44,32,32,,,31
1991 10 03 12,41471.98,1.38,276.1,25.08,14.55,1652.37,31,31,,,30
1991 10 04 12,41471.98,0,372.49,27.28,12.41,1432.46,30,30,,,29
1991 10 05 12,41471.98,0,362.63,29.22,14.39,1640.02,29,29,,,29
1991 10 06 12,41126.39,0,364.72,28.75,13.75,1574.58,29,29,,,28
1991 10 07 12,41126.39,0,439.55,23.44,3.57,788.84,28,28,,,27
1991 10 08 12,40783.48,0,422.01,19.59,1.57,686.01,27,27,,,25
1991 10 09 12,40780.8,0,431.25,22.63,2.87,749.67,25,25,,,24
1991 10 10 12,40780.8,0,408.58,24.95,6.41,959.56,24,24,,,23
1991 10 11 12,40435.21,0,382.82,25.3,8.5,1120.34,23,23,,,23
1991 10 12 12,40435.21,0,390.95,26.26,8.38,1110.3,23,23,,,20
1991 10 13 12,40435.21,0,419.55,26.85,5.8,920,20,20,,,20
1991 10 14 12,40089.6,0,411.36,24.09,4.04,803.42,20,20,,,18
1991 10 15 12,40089.6,0,395.53,25.72,6.45,956.26,18,18,,,20
1991 10 16 12,40083.98,2.01,277.45,20.91,9.01,1160.74,20,20,,,18
1991 10 17 12,39743.98,0,368.16,20,3.43,790.83,18,18,,,19
1991 10 18 12,39743.98,0,404.44,23.21,2.53,722.32,19,19,,,19
1991 10 19 12,39629.68,0,418.58,27.89,3.48,797.79,19,19,,,18
1991 10 20 12,39398.4,0,401.81,28.2,5.44,913.03,18,18,,,19
1991 10 21 12,39398.4,0,279.21,21.78,9.26,1180.82,19,19,,,20
1991 10 22 12,39218.96,0,252.31,20.96,9.86,1228.51,20,20,,,19
1991 10 23 12,39052.82,0,291.55,25.73,11.96,1396.58,19,19,,,16
1991 10 24 12,39052.82,0,306.52,28.15,12.95,1479.93,16,16,,,18
1991 10 25 12,38807.61,0,278.54,27.93,14.32,1625.58,18,18,,,19
1991 10 26 12,38707.19,0,297.4,28.33,13.25,1519.62,19,19,,,17
1991 10 27 12,38707.19,0,297.76,28.21,13,1479.85,17,17,,,18
1991 10 28 12,38527.77,0,320.37,28.79,11.71,1376.68,18,18,,,20
1991 10 29 12,38361.6,0,308.56,28.32,12.07,1405.99,20,20,,,19
1991 10 30 12,38361.6,0,321.3,20.39,4.35,827.75,19,19,,,16
1991 10 31 12,38247.28,0,332.93,23.26,5.7,917.94,16,16,,,17
1991 11 01 12,38016.01,0,330.99,24.87,6.91,993.02,17,17,,,17
1991 11 02 12,38016.01,6.43,210.2,19.82,6.03,929.35,17,17,,,20
1991 11 03 12,37990.59,0,305.43,17.04,1.68,693.58,20,20,,,24
1991 11 04 12,37670.38,2.33,204.85,10.27,-1.11,565.63,24,24,,,36
1991 11 05 12,37670.38,0,292.42,11.68,-2.57,514.18,36,36,,,35
1991 11 06 12,37670.38,0,320.09,12.48,-3.95,443.89,35,35,,,30
1991 11 07 12,37360.03,0,333.63,15.03,-3.04,485.22,30,30,,,28
1991 11 08 12,37324.82,0,314.98,16.12,-0.49,590.35,28,28,,,29
1991 11 09 12,37324.82,0.24,160.5,10.3,3.16,771.31,29,29,,,28
1991 11 10 12,37264.5,23.4,69.85,6.12,2.39,723.7,28,28,,,35
1991 11 11 12,36979.21,0.52,198.62,9.99,1.02,641.88,35,35,,,59
1991 11 12 12,36979.21,0,339.77,17.09,-2,520,59,59,,,85
1991 11 13 12,36979.21,0,331.65,16.63,-1.68,542.29,85,85,,,74
1991 11 14 12,36799.76,0,327.89,18.61,0.33,591.25,74,74,,,64
1991 11 15 12,36633.6,0,336.24,22.26,1.9,641.63,64,64,,,55
1991 11 16 12,36633.6,0,330.85,23.68,3.37,706.71,55,55,,,47
1991 11 17 12,36633.6,0,295.98,24.64,7.8,993.87,47,47,,,44
1991 11 18 12,36519.29,0,261.87,21.22,7.62,1043.91,44,44,,,41
1991 11 19 12,36288,0,186.3,16.93,8.29,1103.21,41,41,,,39
1991 11 20 12,36288,0,253.65,24.41,11.03,1301.5,39,39,,,37
1991 11 21 12,36288,0,219.55,25.82,14.34,1630.71,37,37,,,35
1991 11 22 12,36262.58,2.48,161.88,25,15.68,1774.29,35,35,,,34
1991 11 23 12,35977.61,0,306.1,21.27,3.5,761.33,34,34,,,33
1991 11 24 12,35942.39,0,301.4,19.93,2.62,708.37,33,33,,,33
1991 11 25 12,35942.39,0,267.93,10.65,-2.85,467.71,33,33,,,32
1991 11 26 12,35942.39,0,295.29,10.93,-4.98,371.04,32,32,,,33
1991 11 27 12,35916.96,0,299.94,11.22,-5.3,358.42,33,33,,,32
1991 11 28 12,35697.22,0,316.83,14.96,-4.16,363.81,32,32,,,31
1991 11 29 12,35596.83,0,324.34,20.92,-0.49,441.18,31,31,,,30
1991 11 30 12,35596.83,0,285.46,24.51,7.54,800.47,30,30,,,31
1991 12 01 12,35596.83,2.37,196.74,25.34,12.34,1310.72,31,31,,,33
1991 12 02 12,35596.83,0,124.35,24.74,18.17,2091.1,33,33,,,36
1991 12 03 12,35591.22,0.14,176.68,25.5,16.05,1753.84,36,36,,,43
1991 12 04 12,35482.51,31.25,226.56,20.17,1.21,615.39,43,43,,,168
1991 12 05 12,35351.64,0,264.92,9.54,-4.6,439.45,168,168,,,239
1991 12 06 12,35251.2,0,274.8,11.09,-4.08,440,239,239,,,147
1991 12 07 12,35251.2,0,302.18,15.88,-3.02,481.84,147,147,,,107
1991 12 08 12,35251.2,0,304.23,18.78,-1.1,556.76,107,107,,,85
1991 12 09 12,35251.2,0,284.58,21.24,3.14,762.62,85,85,,,76
1991 12 10 12,35251.2,1,241.87,21.87,7.5,1040.38,76,76,,,72
1991 12 11 12,35251.2,0,280.82,19.33,1.23,658.42,72,72,,,67
1991 12 12 12,35251.2,0,272.19,18.11,1.14,651.59,67,67,,,62
1991 12 13 12,35245.58,0,252.85,18.9,3.73,799.85,62,62,,,58
1991 12 14 12,35225.77,1.21,166.59,21.55,11.31,1345,58,58,,,56
1991 12 15 12,35190.87,1.25,270.19,19.42,-1.15,564.34,56,56,,,53
1991 12 16 12,35136.88,0,263.96,12.23,-3.02,488.32,53,53,,,50
1991 12 17 12,35071.75,0,273.91,11.75,-4.48,440.42,50,50,,,46
1991 12 18 12,35071.75,0,287.52,15.79,-2.57,508.97,46,46,,,42
1991 12 19 12,35006.02,0,287.1,14.3,-4.17,440,42,42,,,39
1991 12 20 12,35006.02,0,252.31,7.32,-7.02,360,39,39,,,38
1991 12 21 12,35006.02,0,277.76,11.47,-5.81,398.95,38,38,,,36
1991 12 22 12,35006.02,0,252.8,18.23,2.64,731,36,36,,,36
1991 12 23 12,35006.02,0,206.01,19.9,7.97,1077.89,36,36,,,40
1991 12 24 12,35071.75,10.44,148.62,18.64,7.49,1038.94,40,40,,,46
1991 12 25 12,35071.75,0,258.52,16.24,0.66,637.25,46,46,,,53
1991 12 26 12,35136.88,0,239.59,13.2,-0.42,598.11,53,53,,,54
1991 12 27 12,35190.87,2.79,139,10.14,1.25,660.7,54,54,,,51
1991 12 28 12,35225.77,8.15,131.85,12.18,3.2,776.15,51,51,,,56
1991 12 29 12,35245.58,25.92,95.23,9.56,3.53,797.24,56,56,,,281
1991 12 30 12,35251.2,0,257.47,14.11,0.01,605.4,281,281,,,342
1991 12 31 12,35251.2,0,238.21,12.34,-0.07,600,342,342,,,152
1992 01 01 12,35251.2,0,186.46,8.35,0.27,619,152,152,,,140
1992 01 02 12,35251.2,0,192.06,10.43,2,714.57,140,140,,,78
1992 01 03 12,35251.2,12.53,157.14,14.78,5.22,897.93,78,78,,,76
1992 01 04 12,35251.2,0.29,222.26,14.55,4.09,812.03,76,76,,,123
1992 01 05 12,35253.89,1,267.41,16.85,2.73,738.74,123,123,,,157
1992 01 06 12,35417.39,0,264.82,16.31,3.19,775.3,157,157,,,105
1992 01 07 12,35571.41,0,306.37,15.49,-1.5,560,105,105,,,83
1992 01 08 12,35596.83,0,313.84,14.77,-2.97,483.33,83,83,,,72
1992 01 09 12,35596.83,2.02,279.46,14.16,0.18,615.64,72,72,,,66
1992 01 10 12,35596.83,0.39,143.54,13.1,7.07,1005.4,66,66,,,62
1992 01 11 12,35596.83,0,290.73,11.34,-2.96,483.03,62,62,,,61
1992 01 12 12,35632.05,0,305.29,13.82,-2,520,61,61,,,59
1992 01 13 12,35828.06,5.82,214.54,16.09,2.38,730.09,59,59,,,61
1992 01 14 12,35942.39,13.09,146.13,17.32,8.85,1148.08,61,61,,,92
1992 01 15 12,35942.39,0,304.04,11.92,-3.1,481.52,92,92,,,152
1992 01 16 12,35942.39,0,247.32,6.25,-4.22,440,152,152,,,124
1992 01 17 12,35942.39,0,264.67,5.39,-6.01,392.18,124,124,,,93
1992 01 18 12,36173.67,0,315.84,12.13,-3.59,472.57,93,93,,,79
1992 01 19 12,36288,12.22,197.13,10.4,-0.94,564.74,79,79,,,97
1992 01 20 12,36288,0,296.83,7.8,-5.57,400.21,97,97,,,222
1992 01 21 12,36288,0,335.1,13.56,-3.88,450.67,222,222,,,239
1992 01 22 12,36323.24,0,343.53,17.51,-1.5,560,239,239,,,174
1992 01 23 12,36608.18,18.44,239.56,17.8,1.99,709.95,174,174,,,442
1992 01 24 12,36633.6,5.71,230.33,16.87,2.49,728.98,442,442,,,1080
1992 01 25 12,36633.6,0,333.94,10.53,-5.46,403.12,1080,1080,,,423
1992 01 26 12,36636.29,0,347.69,14.38,-3.4,480,423,423,,,236
1992 01 27 12,36953.79,0,304.31,14.81,1.36,668.76,236,236,,,170
1992 01 28 12,36979.21,2.74,163.71,12.07,4.42,833.75,170,170,,,143
1992 01 29 12,36979.21,0,203.2,13.25,5.49,912.28,143,143,,,130
1992 01 30 12,37014.46,0,245.35,16.31,6.52,961.48,130,130,,,125
1992 01 31 12,37324.82,0,290.71,16.53,4.25,821.69,125,125,,,114
1992 02 01 12,37324.82,0,343.71,17.51,0.96,651.35,114,114,,,103
1992 02 02 12,37324.82,0,370.72,14.61,-4.77,440,103,103,,,93
1992 02 03 12,37610.05,0,374.87,16.86,-3.5,480,93,93,,,86
1992 02 04 12,37670.38,0,376.54,20.76,-0.5,599.83,86,86,,,83
1992 02 05 12,37670.38,0,365.19,21.17,1.63,690.32,83,83,,,82
1992 02 06 12,37705.62,6.19,167.23,13.24,4.48,838.51,82,82,,,85
1992 02 07 12,38016.01,0,295.28,12.56,0.51,640,85,85,,,88
1992 02 08 12,38016.01,0,366.23,15.65,-1.86,533.54,88,88,,,88
1992 02 09 12,38016.01,0,364.6,11.26,-5.71,399.9,88,88,,,83
1992 02 10 12,38361.6,0,348.27,10.33,-4.99,439.53,83,83,,,76
1992 02 11 12,38361.6,0,290.52,11.69,0.14,612.56,76,76,,,71
1992 02 12 12,38361.6,0,368.04,17.17,0,600,71,71,,,69
1992 02 13 12,38707.19,0,355.3,17.74,1.58,686.17,69,69,,,71
1992 02 14 12,38707.19,0,199.48,10.96,3.65,800,71,71,,,69
1992 02 15 12,38707.19,4.92,168.35,16.33,7.85,1067.75,69,69,,,218
1992 02 16 12,39052.82,24.31,128.06,17.66,11.35,1347.83,218,218,,,1900
1992 02 17 12,39052.82,0,367.7,20.79,4.5,840,1900,1900,,,683
1992 02 18 12,39052.82,13.23,85.24,9.1,5.41,910.65,683,683,,,1050
1992 02 19 12,39398.4,4,175.33,14.99,6.77,981.42,1050,1050,,,729
1992 02 20 12,39398.4,0,394.55,19.63,2.36,720,729,729,,,538
1992 02 21 12,39398.4,0,409.51,17.69,-0.41,600,538,538,,,332
1992 02 22 12,39743.98,0,421.44,19.76,0.17,613.83,332,332,,,241
1992 02 23 12,39743.98,20.12,262.34,20.09,6.47,959.08,241,241,,,723
1992 02 24 12,39743.98,5.8,194.43,21.21,12.01,1401.05,723,723,,,1630
1992 02 25 12,40089.6,5.41,203.29,22.2,12.69,1456.3,1630,1630,,,1030
1992 02 26 12,40089.6,26.59,158.25,19.56,12.65,1452.39,1030,1030,,,3070
1992 02 27 12,40124.83,0,426.91,18.47,0.59,640,3070,3070,,,1520
1992 02 28 12,40435.21,0,403.13,16.95,1.23,658.55,1520,1520,,,662
1992 02 29 12,40435.21,0,387.84,20.42,5.34,904.66,662,662,,,417
1992 03 01 12,40755.38,0,441.35,21.22,1.53,682.32,417,417,,,317
1992 03 02 12,40780.8,0,448.07,22.65,2.04,720,317,317,,,257
1992 03 03 12,40780.8,0,457.85,26.62,3.94,803.9,257,257,,,224
1992 03 04 12,41126.39,0,436.73,26.63,6.86,989.11,224,224,,,206
1992 03 05 12,41126.39,0,354.28,23.57,10.54,1282.83,206,206,,,188
1992 03 06 12,41126.39,12.54,160.44,18.87,12.08,1406.61,188,188,,,1300
